last_name, first_name,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,Full Name
Suero, Wander,2019,0.261,0.409,0.316,0.331,0.146,88.5,10.4,5.9,Wander Suero
Plutko, Adam,2019,0.27,0.461,0.326,0.317,0.189,87.9,19.8,7.6,Adam Plutko
Buehler, Walker,2019,0.229,0.368,0.275,0.275,0.137,88.6,12.5,5.4,Walker Buehler
Gray, Sonny,2019,0.212,0.355,0.284,0.296,0.14,87.1,7.9,6.8,Sonny Gray
Estevez, Carlos,2019,0.24,0.42,0.303,0.298,0.178,90.2,15.5,9.9,Carlos Estevez
Farmer, Buck,2019,0.245,0.426,0.314,0.319,0.179,88.4,9,7,Buck Farmer
Stanek, Ryne,2019,0.225,0.417,0.316,0.32,0.188,89.2,17.5,9.5,Ryne Stanek
Bedrosian, Cam,2019,0.229,0.383,0.301,0.307,0.153,88.7,10.6,6.5,Cam Bedrosian
Gonzalez, Chi Chi,2019,0.269,0.448,0.349,0.36,0.177,87.1,11.1,5.6,Chi Chi Gonzalez
Castillo, Luis,2019,0.208,0.33,0.277,0.295,0.12,86.4,5.1,5.1,Luis Castillo
Walden, Marcus,2019,0.242,0.359,0.302,0.328,0.113,89.1,7.1,2.8,Marcus Walden
Castro, Miguel,2019,0.216,0.358,0.294,0.316,0.14,87.1,9.7,6.3,Miguel Castro
Baez, Pedro,2019,0.188,0.307,0.252,0.268,0.118,86.6,20.9,2.8,Pedro Baez
Devenski, Chris,2019,0.239,0.417,0.306,0.3,0.175,87.8,19.2,8.4,Chris Devenski
Brebbia, John,2019,0.21,0.348,0.274,0.288,0.137,87.8,23.9,5.3,John Brebbia
Gallegos, Giovanny,2019,0.188,0.353,0.253,0.245,0.163,88.4,19.7,7.8,Giovanny Gallegos
Rodriguez, Richard,2019,0.237,0.411,0.301,0.305,0.173,89.8,16.8,7.7,Richard Rodriguez
Agrazal, Dario,2019,0.28,0.48,0.347,0.343,0.198,86.6,13.9,6.7,Dario Agrazal
Montas, Frankie,2019,0.233,0.359,0.276,0.285,0.124,86.8,9.7,3.8,Frankie Montas
Smith, Caleb,2019,0.228,0.46,0.321,0.306,0.231,87.4,22,10.9,Caleb Smith
Hamels, Cole,2019,0.257,0.422,0.326,0.334,0.163,89.2,10.6,7.6,Cole Hamels
Eovaldi, Nathan,2019,0.24,0.43,0.332,0.337,0.188,90.6,11,8.8,Nathan Eovaldi
Senzatela, Antonio,2019,0.296,0.47,0.356,0.369,0.172,89.1,4.3,6.1,Antonio Senzatela
Means, John,2019,0.24,0.425,0.305,0.292,0.184,87.1,20,6.8,John Means
Syndergaard, Noah,2019,0.234,0.366,0.28,0.285,0.129,86.3,9.3,4.9,Noah Syndergaard
Pomeranz, Drew,2019,0.234,0.418,0.315,0.317,0.182,88.7,13.5,8.9,Drew Pomeranz
Quantrill, Cal,2019,0.264,0.435,0.318,0.316,0.168,86.9,11.2,7.1,Cal Quantrill
Duffy, Danny,2019,0.266,0.47,0.342,0.337,0.202,88.9,15.8,7.5,Danny Duffy
Kingham, Nick,2019,0.285,0.498,0.357,0.355,0.21,86.6,12.9,8,Nick Kingham
Junis, Jakob,2019,0.274,0.482,0.345,0.338,0.206,90,12.6,8.6,Jakob Junis
Chavez, Jesse,2019,0.277,0.479,0.342,0.335,0.2,87.7,12.9,8.8,Jesse Chavez
Matz, Steven,2019,0.256,0.45,0.322,0.32,0.192,88,9.9,8.6,Steven Matz
Kershaw, Clayton,2019,0.241,0.404,0.294,0.287,0.161,87.2,11.2,6.8,Clayton Kershaw
Sampson, Adrian,2019,0.3,0.543,0.373,0.355,0.241,90.5,15,10.1,Adrian Sampson
Mengden, Daniel,2019,0.263,0.437,0.331,0.34,0.171,88.9,18.7,5.8,Daniel Mengden
Minor, Mike,2019,0.233,0.394,0.299,0.3,0.159,86.4,16.4,7,Mike Minor
Heaney, Andrew,2019,0.244,0.44,0.32,0.313,0.195,89.6,17.7,9.8,Andrew Heaney
deGrom, Jacob,2019,0.209,0.327,0.253,0.26,0.115,85.8,12,5,Jacob deGrom
Mikolas, Miles,2019,0.279,0.453,0.328,0.321,0.171,87.8,9.8,6.3,Miles Mikolas
Peacock, Brad,2019,0.224,0.408,0.302,0.297,0.181,89.9,14.2,8,Brad Peacock
Cease, Dylan,2019,0.245,0.425,0.323,0.33,0.178,87.9,12.1,7.7,Dylan Cease
Yamamoto, Jordan,2019,0.23,0.383,0.309,0.328,0.151,89.9,17.2,6.4,Jordan Yamamoto
Rogers, Taylor,2019,0.207,0.348,0.258,0.256,0.138,86.6,6.2,7.6,Taylor Rogers
Roark, Tanner,2019,0.278,0.475,0.345,0.342,0.194,88.7,15.2,8.6,Tanner Roark
Teheran, Julio,2019,0.24,0.413,0.323,0.338,0.17,88.2,14.7,6.9,Julio Teheran
Strasburg, Stephen,2019,0.212,0.339,0.266,0.274,0.125,87.3,7.2,6.1,Stephen Strasburg
Thornton, Trent,2019,0.26,0.432,0.327,0.332,0.171,87.6,16.2,7.4,Trent Thornton
Biagini, Joe,2019,0.285,0.505,0.358,0.354,0.217,88.1,9.1,8.8,Joe Biagini
Cole, Gerrit,2019,0.184,0.317,0.238,0.235,0.131,87.3,13.6,5.9,Gerrit Cole
Lugo, Seth,2019,0.183,0.318,0.234,0.237,0.133,87.8,14.3,5.3,Seth Lugo
Margevicius, Nick,2019,0.294,0.504,0.362,0.354,0.207,87.1,8.9,7,Nick Margevicius
Corbin, Patrick,2019,0.23,0.416,0.304,0.298,0.183,88.9,7.5,9.4,Patrick Corbin
Hughes, Jared,2019,0.248,0.409,0.314,0.325,0.158,88.5,0.7,7.3,Jared Hughes
McCarthy, Kevin,2019,0.281,0.412,0.316,0.342,0.128,89.2,3.3,4.3,Kevin McCarthy
Anderson, Chase,2019,0.25,0.427,0.321,0.325,0.175,86.6,18.9,6.6,Chase Anderson
Bassitt, Chris,2019,0.235,0.394,0.304,0.31,0.155,87,14.3,5.1,Chris Bassitt
Williams, Trevor,2019,0.277,0.484,0.343,0.335,0.205,87.2,16.4,8.3,Trevor Williams
Barnes, Matt,2019,0.197,0.309,0.276,0.31,0.111,89,10,5.2,Matt Barnes
Hess, David,2019,0.304,0.607,0.397,0.363,0.301,91.5,17.4,13.2,David Hess
Zimmermann, Jordan,2019,0.31,0.535,0.371,0.352,0.223,89.3,12.2,9.5,Jordan Zimmermann
Cessa, Luis,2019,0.229,0.371,0.295,0.307,0.138,88.3,10.6,5.1,Luis Cessa
Miley, Wade,2019,0.247,0.385,0.304,0.316,0.135,87,7.7,4.5,Wade Miley
Greinke, Zack,2019,0.242,0.39,0.282,0.274,0.146,86.8,10.3,6.3,Zack Greinke
Sparkman, Glenn,2019,0.293,0.518,0.364,0.348,0.222,90.6,14.1,7.7,Glenn Sparkman
Pagan, Emilio,2019,0.174,0.303,0.221,0.216,0.128,89.3,21.2,6.4,Emilio Pagan
Osuna, Roberto,2019,0.209,0.354,0.257,0.252,0.142,86,13.5,6,Roberto Osuna
Musgrove, Joe,2019,0.251,0.422,0.305,0.3,0.168,88.4,11.3,6.4,Joe Musgrove
Erlin, Robbie,2019,0.285,0.452,0.332,0.33,0.164,87.4,9.3,6,Robbie Erlin
Perez, Martin,2019,0.248,0.386,0.304,0.319,0.135,85.4,9,5.3,Martin Perez
Archer, Chris,2019,0.265,0.48,0.347,0.347,0.214,88,13.2,10.5,Chris Archer
Marquez, German,2019,0.268,0.456,0.324,0.309,0.184,90.2,6.3,7.9,German Marquez
Suarez, Jose,2019,0.274,0.478,0.356,0.358,0.202,87.8,16,8.8,Jose Suarez
Fried, Max,2019,0.254,0.383,0.297,0.31,0.127,88.3,3.6,4.4,Max Fried
Albers, Matt,2019,0.237,0.383,0.309,0.332,0.142,86.3,6.9,5.9,Matt Albers
Garcia, Luis,2019,0.269,0.45,0.349,0.368,0.179,87.8,9.4,7.7,Luis Garcia
Hader, Josh,2019,0.155,0.321,0.232,0.225,0.165,90.4,26.7,12.6,Josh Hader
Familia, Jeurys,2019,0.247,0.393,0.33,0.371,0.143,86.7,8.1,6,Jeurys Familia
Buttrey, Ty,2019,0.249,0.398,0.309,0.317,0.147,90,13.4,5.6,Ty Buttrey
Hernandez, Elieser,2019,0.209,0.391,0.29,0.288,0.18,85.9,20.5,9,Elieser Hernandez
Sale, Chris,2019,0.217,0.384,0.285,0.28,0.165,88.1,12.5,8.1,Chris Sale
Givens, Mychal,2019,0.22,0.415,0.303,0.302,0.194,88.6,14.4,11,Mychal Givens
Hudson, Daniel,2019,0.227,0.428,0.307,0.304,0.199,88.8,15.7,8.9,Daniel Hudson
Armstrong, Shawn,2019,0.259,0.452,0.343,0.35,0.192,87.6,20.3,9.1,Shawn Armstrong
McFarland, T.J.,2019,0.313,0.488,0.356,0.369,0.172,87.3,-0.3,6.2,T.J. McFarland
Liriano, Francisco,2019,0.23,0.376,0.308,0.33,0.143,84.6,8.6,5,Francisco Liriano
Sabathia, CC,2019,0.242,0.416,0.311,0.31,0.172,86.4,14.4,8.2,CC Sabathia
Keller, Brad,2019,0.263,0.421,0.33,0.346,0.155,88.9,9,5.9,Brad Keller
Greene, Shane,2019,0.239,0.421,0.307,0.301,0.18,89,12.8,8.3,Shane Greene
Treinen, Blake,2019,0.252,0.416,0.334,0.358,0.163,87.1,12,7.7,Blake Treinen
Stephenson, Robert,2019,0.194,0.311,0.25,0.269,0.116,86.7,18.8,5.1,Robert Stephenson
Green, Chad,2019,0.24,0.425,0.313,0.307,0.183,91.5,17.1,11.6,Chad Green
Jimenez, Joe,2019,0.215,0.412,0.303,0.298,0.194,88.1,21.8,10.8,Joe Jimenez
DeSclafani, Anthony,2019,0.238,0.413,0.301,0.298,0.172,88.3,11.5,7.6,Anthony DeSclafani
Godley, Zack,2019,0.278,0.479,0.358,0.363,0.199,89,11.1,8.3,Zack Godley
Freeland, Kyle,2019,0.291,0.508,0.361,0.352,0.214,88.9,9.4,8.8,Kyle Freeland
Brooks, Aaron,2019,0.27,0.481,0.345,0.337,0.208,89.1,11.5,7.9,Aaron Brooks
Montgomery, Mike,2019,0.316,0.531,0.384,0.382,0.212,89.7,6.3,8.2,Mike Montgomery
Beede, Tyler,2019,0.266,0.474,0.343,0.338,0.205,90.8,11.5,8.4,Tyler Beede
Ynoa, Gabriel,2019,0.286,0.535,0.358,0.329,0.247,89.9,11.1,10.2,Gabriel Ynoa
Cashner, Andrew,2019,0.268,0.469,0.345,0.339,0.198,89.3,9.9,7.7,Andrew Cashner
Lopez, Pablo,2019,0.26,0.435,0.321,0.32,0.173,87.3,9.2,7.4,Pablo Lopez
Young, Alex,2019,0.251,0.436,0.316,0.318,0.183,87,9.4,7.3,Alex Young
Yarbrough, Ryan,2019,0.258,0.395,0.293,0.295,0.135,84.1,14.4,7,Ryan Yarbrough
Canning, Griffin,2019,0.221,0.403,0.299,0.297,0.18,87,16.1,7.6,Griffin Canning
Gray, Jon,2019,0.269,0.426,0.325,0.338,0.154,88.9,7.5,5.9,Jon Gray
Bettis, Chad,2019,0.271,0.419,0.322,0.337,0.144,89.6,2.2,5.5,Chad Bettis
Leake, Mike,2019,0.299,0.52,0.354,0.329,0.219,90.4,11.5,8.8,Mike Leake
Workman, Brandon,2019,0.173,0.233,0.255,0.31,0.056,87.5,8.7,0.7,Brandon Workman
Bumgarner, Madison,2019,0.255,0.456,0.316,0.301,0.2,89.4,17.4,9,Madison Bumgarner
Gant, John,2019,0.233,0.326,0.292,0.33,0.09,87,9.4,2.9,John Gant
Leclerc, Jose,2019,0.175,0.288,0.267,0.3,0.112,85.7,17.4,4.5,Jose Leclerc
Scherzer, Max,2019,0.206,0.338,0.254,0.253,0.13,87.4,13.3,6.6,Max Scherzer
Gsellman, Robert,2019,0.239,0.355,0.294,0.321,0.114,85.3,11.8,3.7,Robert Gsellman
Arrieta, Jake,2019,0.266,0.449,0.334,0.338,0.18,88.7,6.3,6.8,Jake Arrieta
Fiers, Mike,2019,0.266,0.466,0.335,0.327,0.198,87.3,15.5,7.4,Mike Fiers
Morton, Charlie,2019,0.22,0.34,0.275,0.288,0.117,86.7,9.1,5,Charlie Morton
Chatwood, Tyler,2019,0.263,0.367,0.321,0.36,0.102,87.3,4.8,2.9,Tyler Chatwood
Plesac, Zach,2019,0.279,0.48,0.347,0.344,0.199,89.1,14.2,8.1,Zach Plesac
Paxton, James,2019,0.228,0.387,0.295,0.298,0.157,88.6,17.1,7.4,James Paxton
Ray, Robbie,2019,0.231,0.43,0.321,0.326,0.197,86.9,12.8,10.7,Robbie Ray
Anderson, Nick,2019,0.197,0.358,0.259,0.258,0.159,89.6,20.1,9,Nick Anderson
Hendriks, Liam,2019,0.185,0.305,0.229,0.24,0.119,88.9,20.3,5.9,Liam Hendriks
Weaver, Luke,2019,0.253,0.424,0.306,0.301,0.168,89.3,14,6.3,Luke Weaver
Cortes Jr., Nestor,2019,0.279,0.49,0.351,0.347,0.21,87.6,17.4,9,Nestor Cortes Jr.
Jurado, Ariel,2019,0.298,0.517,0.365,0.35,0.216,89.1,9,10,Ariel Jurado
Guerra, Javy,2019,0.255,0.454,0.312,0.302,0.197,88.7,16.9,8,Javy Guerra
Bieber, Shane,2019,0.246,0.427,0.3,0.286,0.179,90.4,12.3,8.7,Shane Bieber
Bundy, Dylan,2019,0.241,0.406,0.309,0.31,0.163,87.7,13.7,5.9,Dylan Bundy
Peralta, Freddy,2019,0.232,0.418,0.309,0.31,0.185,88.7,17.4,9.6,Freddy Peralta
Lopez, Jorge,2019,0.272,0.512,0.359,0.341,0.237,90.3,10,11.9,Jorge Lopez
Milone, Tommy,2019,0.25,0.473,0.319,0.292,0.221,86.7,16,9.9,Tommy Milone
Clarke, Taylor,2019,0.264,0.516,0.354,0.334,0.249,88.9,15.8,12.1,Taylor Clarke
Trivino, Lou,2019,0.23,0.343,0.296,0.327,0.111,85.5,14.5,3.9,Lou Trivino
Lester, Jon,2019,0.282,0.462,0.34,0.336,0.178,87.8,11.3,7.4,Jon Lester
Jackson, Luke,2019,0.209,0.347,0.268,0.28,0.134,87.9,2,7.2,Luke Jackson
Guerra, Junior,2019,0.222,0.382,0.3,0.313,0.157,85.6,13,6.2,Junior Guerra
Maeda, Kenta,2019,0.216,0.345,0.274,0.285,0.127,85.4,14.7,5.5,Kenta Maeda
Lamet, Dinelson,2019,0.217,0.381,0.296,0.304,0.163,86.9,14.9,8.1,Dinelson Lamet
Newcomb, Sean,2019,0.237,0.376,0.302,0.32,0.136,86.9,11,4.6,Sean Newcomb
Peters, Dillon,2019,0.285,0.516,0.361,0.352,0.23,89,13.3,8.7,Dillon Peters
Valdez, Framber,2019,0.253,0.369,0.323,0.36,0.114,89.5,-1,5.2,Framber Valdez
